id,keyword,volume,position,estimated_visits,cpc,paid_difficulty,seo_difficulty,ranking_url,city,state,country,region,url_location,area,category,business_category,product_category,source,url_keyword,unknown_col,remaining_url_keywords,priority
4629,sainath hospital,9900,39,38,$0.16,4,16,https://www.mappls.com/place-sainath+orthopaedic+hospital-shastri+nagar-pimpri-pimpri+chinchwad-maharashtra-411017-bpb997@zdata=MTguNjE4Mjk5KzczLjgwMzAwMSsxNyticGI5OTcrKw==ed,,Maharashtra,India,West,,,,,,mappls.com,sainath hospital,,place orthopaedic shastri nagar pimpri pimpri chinchwad 411017 bpb997 zdata mtgunje4mjk5kzczljgwmzawmssxnyticgi5otcrkw ed,1
4630,rto nashik,14800,9,271,$0.12,9,16,https://www.mappls.com/m4rqfm,,,,,,,,,,mappls.com,,,m4rqfm,1
4631,gali number 9,18100,6,1192,$0.10,4,28,https://www.mappls.com/wigqjj,,,,,,,,,,mappls.com,,,wigqjj,1
4632,fc road in pune,14800,15,271,$0.40,2,16,https://www.mappls.com/w5yzxj,,,,,,,,,,mappls.com,,,w5yzxj,1
4633,dlf club 5,12100,26,38,$0.38,17,21,https://www.mappls.com/place-dlf+city+club+5-opposite+trinity+tower-dlf+phase+5-sector+53-gurugram-haryana-122002-CQW4M2@zdata=MjguNDQ3Njg4Kzc3LjA5NTQ3KzE3K0NRVzRNMisrbnI=ed,Gurugram,Haryana,India,North,Gurugram,,,,,mappls.com,dlf club,,place city opposite trinity tower dlf phase sector 53 122002 cqw4m2 zdata mjgundq3njg4kzc3lja5ntq3kze3k0nrvzrnmisrbni ed,1
4634,dera village,18100,51,38,$0,4,25,https://www.mappls.com/place-dera+village+bus+stop-dera-new+delhi-delhi-110074-3ABD3D@zdata=MjguNDM4MzMxKzc3LjE3NjY3MysxNyszQUJEM0QrKw==ed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,dera village,,place bus stop dera new 110074 3abd3d zdata mjgundm4mzmxkzc3lje3njy3mysxnyszqujem0qrkw ed,1
4635,delhi model town,18100,32,38,$0.14,2,45,https://www.mappls.com/f441c8,,,,,,,,,,mappls.com,,,f441c8,1
4636,dattatreya temple,18100,35,38,$0,1,24,https://www.mappls.com/1setb8,,,,,,,,,,mappls.com,,,1setb8,1
4637,d mart kota,18100,9,463,$0.15,4,20,https://www.mappls.com/yxti5a,,,,,,,,,,mappls.com,,,yxti5a,1
4638,cvent india,18100,47,38,$0,3,24,https://www.mappls.com/e768cc,,,,,,,,,,mappls.com,,,e768cc,1
